time_s,left_tension_N,right_tension_N,tension_difference_N,measured_tension_ratio,expected_tension_ratio,pulley_angle_rad,pulley_angular_velocity_rad_s,pulley_angular_acceleration_rad_s2,expected_angular_acceleration_rad_s2,pulley_torque_Nm,expected_pulley_torque_Nm,rope_material_speed_m_s,pulley_rim_speed_m_s,slip_speed_m_s,dissipated_power_W,cumulative_dissipation_J,mechanical_plus_cable_energy_J,energy_change_J,energy_balance_J,route_length_m,route_velocity_m_s,extension_m,route_tension_N,route_status,tangent_residual,surface_residual_m,left_displacement_m,right_displacement_m
0.1832000000000032,2.08732539353107,2.1408465574677598,0.05352116393668993,1.0256410256410236,1.0259173073411805,0.424938476996887,4.671327689058476,26.76058196834527,26.76058196834527,0.0026760581968345272,0.002676058196834497,0.2349259149072318,0.2335663844529238,0.0013595304543080056,7.2763652321799e-05,1.2675151603788508e-05,0.8644198115003048,-9.938499695216763e-06,0.8644324866519085,0.4870628107795674,-0.005803872597107071,0.00014033549916186994,2.105032487428049,0.0,5.435994129464344e-08,0.0,0.021500221919276887,-0.021489376385568255
0.18420000000000322,1.9928716508704758,2.0439709239697192,0.05109927309924345,1.0256410256410258,1.0259173073411798,0.429622986857629,4.697489713008231,25.549636549621493,25.549636549621486,0.0025549636549621487,0.0025549636549621725,0.23623401610471956,0.23487448565041158,0.0013595304543079778,6.947101797153375e-05,1.2745958029692584e-05,0.8644200065910933,-9.743408906692785e-06,0.864432752549123,0.48705661977652287,-0.0064256325690409625,0.0001341444961173166,2.012167441759749,0.0,8.76038288073828e-09,0.0,0.021738955435899543,-0.021721812915928413
0.18520000000000325,1.8988912304546133,1.94758074918422,0.04868951872960681,1.0256410256410264,1.025917307341181,0.4343330467445842,4.7224287583945745,24.344759364803654,24.34475936480365,0.0024344759364803652,0.0024344759364803405,0.23748096837403676,0.23612143791972873,0.0013595304543080333,6.619488351838378e-05,1.2813442398644816e-05,0.864419818044716,-9.931955283981608e-06,0.8644326314871147,0.48705027298771525,-0.006111606797853021,0.00012779770730969586,1.916965609645438,0.0,3.715502554100406e-08,0.0,0.021978950630547917,-0.021955542770884167
0.18620000000000328,1.8190708060528138,1.865713647233658,0.04664284118084416,1.025641025641027,1.025917307341181,0.4390674665163241,4.746239815825288,23.32142059042151,23.321420590421507,0.0023321420590421507,0.0023321420590422083,0.23867152124557245,0.23731199079126442,0.0013595304543080333,6.341236306108347e-05,1.2877910532690775e-05,0.8644193124598624,-1.0437540137631096e-05,0.8644321903703951,0.4870446947166074,-0.004907527889528533,0.0001222194362018314,1.833291543027471,0.0,3.7217612737292885e-08,0.0,0.022219691775269702,-0.022190962664244997
0.1872000000000033,1.7650348850334332,1.8102921897778799,0.04525730474444667,1.0256410256410255,1.0259173073411814,0.4438252353670667,4.769182148455201,22.628652372223097,22.62865237222309,0.0022628652372223093,0.0022628652372223335,0.2398186378770681,0.23845910742276005,0.001359530454308061,6.152868408009111e-05,1.2940107517954031e-05,0.8644185800195503,-1.1169980449698969e-05,0.8644315201270683,0.48704069734492217,-0.0029887497776459712,0.00011822206451661543,1.7733309677492315,0.0,8.804676895515485e-09,0.0,0.02246074085422593,-0.022428409531271638
0.18820000000000334,1.7446528936554406,1.7893875832363497,0.04473468958090909,1.0256410256410258,1.0259173073411814,0.4486056690336012,4.791641534648834,22.367344790454233,22.367344790454233,0.0022367344790454233,0.0022367344790454546,0.24094160718674976,0.2395820767324417,0.001359530454308061,6.0818172849412544e-05,1.3001109195318892e-05,0.8644177063775142,-1.2043622485746752e-05,0.8644307074867096,0.4870388630228549,-0.0006347103588389494,0.00011638774244931982,1.7458161367397973,0.0,5.418103571170837e-08,0.0,0.022701801353358676,-0.022668111459700952
0.18920000000000337,1.760893127023544,1.8060442328446622,0.045151105821118254,1.0256410256410267,1.025917307341181,0.45340850944675715,4.814074085822827,22.575552910559345,22.57555291055933,0.0022575552910559333,0.002257555291055913,0.24206323474544938,0.24070370429114135,0.0013595304543080333,6.138430340939596e-05,1.3062165482224921e-05,0.8644167662914537,-1.2983708546299155e-05,0.864429828456936,0.48703945888865235,0.0018117639568460055,0.00011698360824680121,1.754754123702018,0.0,8.834524041274423e-09,0.0,0.022942761442694054,-0.022910154472589782
0.1902000000000034,1.8113904667016456,1.8578363761042511,0.04644590940260551,1.025641025641025,1.025917307341181,0.4582339623148493,4.836939821458342,23.222954701303134,23.222954701303134,0.0023222954701303134,0.0023222954701302757,0.24320652152722516,0.24184699107291713,0.0013595304543080333,6.314462831069102e-05,1.3124518343128805e-05,0.8644158365021953,-1.3913497804662889e-05,0.8644289610205385,0.4870423981644103,0.00399438517010678,0.00011992288400475282,1.7988432600712922,0.0,8.849517502375183e-09,6.938893903907228e-18,0.023183710262501787,-0.023154470000499888
0.19120000000000342,1.8887908206602355,1.9372213545233212,0.04843053386308571,1.025641025641027,1.025917307341181,0.4630826671657012,4.860635674970391,24.2152669315433,24.215266931543297,0.0024215266931543297,0.002421526693154286,0.2443913142028276,0.24303178374851955,0.0013595304543080333,6.584278570504788e-05,1.3189220918188533e-05,0.8644150126424855,-1.4737357514449378e-05,0.8644282018634037,0.4870472527938223,0.005595291070689836,0.0001247775134167739,1.8716627012516085,0.0,8.864574635949991e-09,6.938893903907228e-18,0.02342492494150542,-0.023400844867490066
0.19220000000000345,1.981822123667265,2.0326380755561733,0.050815951888908195,1.0256410256410275,1.0259173073411814,0.46795560421012566,4.8854376870066645,25.407975944454247,25.407975944454247,0.0025407975944454248,0.00254079759444541,0.2456314148046413,0.24427188435033323,0.001359530454308061,6.90858341575503e-05,1.3256984151045532e-05,0.8644144119482754,-1.5338051724600454e-05,0.8644276689324264,0.4870533157814181,0.006381336542639415,0.0001308405010125302,1.962607515187953,0.0,8.879720154699516e-09,0.0,0.02366683023772384,-0.023648952336622713
