time_s,smooth_displacement_m,rough_displacement_m,smooth_upstream_tension_N,smooth_downstream_tension_N,rough_upstream_tension_N,rough_downstream_tension_N,rough_turn_angle_rad
0.07550000000000005,0.013564747982322522,-0.003676889502283022,1.1629545885231127,1.1629545885231127,2.234204023389957,1.101889767146013,1.5707963267948966
0.08050000000000006,0.014878955759021406,-0.0041022468744013624,1.0997104876322856,1.0997104876322856,2.2567903154325264,1.113029127660509,1.5707963267948966
0.08550000000000006,0.016166221428922305,-0.004537384400060783,1.0393329637323405,1.0393329637323405,2.279575997720275,1.1242668256896333,1.5707963267948966
0.09050000000000007,0.01741425170670896,-0.004979890470041168,0.9823460683344953,0.9823460683344953,2.3024411838603323,1.1355437343192174,1.5707963267948966
0.09550000000000007,0.018611557945454982,-0.005427365344409068,0.9292219657578765,0.9292219657578765,2.3252680351879498,1.1468017365565872,1.5707963267948966
0.10050000000000008,0.01974754735613321,-0.005877433106499613,0.8803778010829045,0.8803778010829045,2.3479413178053883,1.1579840000572401,1.5707963267948966
0.10550000000000008,0.020812602066521996,-0.006327753251344227,0.836173233966631,0.836173233966631,2.370348934989956,1.1690352397038042,1.5707963267948966
0.11050000000000008,0.021798145608927077,-0.006776031857121716,0.7969086417345521,0.7969086417345521,2.3923824327689527,1.1799019669511543,1.5707963267948966
0.11550000000000009,0.02269669656827807,-0.007220032291381271,0.7628239882006743,0.7628239882006743,2.4139374766407724,1.1905327249410642,1.5707963267948966
0.1205000000000001,0.023501909262386354,-0.007657585407137233,0.7340983479695393,0.7340983479695393,2.4349142976091906,1.200878308482393,1.5707963267948966
0.12550000000000008,0.024208601463094358,-0.008086599187446464,0.710850069600201,0.710850069600201,2.4552181058915163,1.2108919680883066,1.5707963267948966
0.1305000000000001,0.02481276929941052,-0.008505067800728709,0.6931375550176517,0.6931375550176517,2.4747594708590293,1.2205295973595567,1.5707963267948966
0.1355000000000001,0.025311589610304757,-0.008911080032857073,0.6809606269905402,0.6809606269905402,2.4934546659692183,1.2297499031020283,1.5707963267948966
0.1405000000000001,0.025703410134530074,-0.009302827065908119,0.6742624513985089,0.6742624513985089,2.5112259776526344,1.238514557667016,1.5707963267948966
0.1455000000000001,0.025987728036637806,-0.009678609577397424,0.6729319764244719,0.6729319764244719,2.528001977321654,1.2467883331035536,1.5707963267948966
0.1505000000000001,0.026165157371380976,-0.010036844137815465,0.676806846757268,0.676806846757268,2.5437177558728203,1.2545392168129061,1.5707963267948966
0.1555000000000001,0.026237386182185404,-0.010376068888298725,0.6856767474019932,0.6856767474019932,2.558315120257945,1.2617385084957065,1.5707963267948966
0.16050000000000011,0.02620712401266773,-0.01069494848430122,0.6992871287862774,0.6992871287862774,2.571742751900665,1.2683608982816086,1.5707963267948966
0.16550000000000012,0.026078040682774258,-0.010992278295151184,0.7173432625316691,0.7173432625316691,2.5839563269335684,1.2743845260291795,1.5707963267948966
0.17050000000000012,0.02585469724261263,-0.011266987853366628,0.7395145755344416,0.7395145755344416,2.594918598425604,1.2797910218797344,1.5707963267948966
0.17550000000000013,0.02554247006718424,-0.011518143551541737,0.7654392088677503,0.7654392088677503,2.60459944095918,1.2845655282423691,1.5707963267948966
0.18050000000000013,0.025147469093857424,-0.011744950588485178,0.794728747469348,0.794728747469348,2.6129758581004334,1.2886967034782317,1.5707963267948966
