case,time_s,rope_speed_m_s,analytic_speed_m_s,speed_error_m_s,acceleration_m_s2,pulley_rim_speed_m_s,left_tension_N,right_tension_N,tension_ratio,capstan_static_upper_ratio,transport_distance_m,equation_11_residual_m2_s2,kinetic_wrap_residual_N,regime
sliding_limited,2.393999999999769,1.7143151332506825,1.7143145278494742,6.054012082756799e-07,0.0007095410495687274,2.24,1.1035451766319238,1.838423917391153,1.6659253796950269,2.1932800507380152,3.5299918563087584,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.395999999999769,1.7143165470639234,1.714315946065937,6.00997986488494e-07,0.0007036956271722092,2.24,1.1035458342419433,1.8384244716423501,1.6659248892051826,2.1932800507380152,3.533420488132384,0.0,-8.881784197001252e-16,sliding
sliding_limited,2.3979999999997688,1.7143179492297218,1.7143173526034974,5.966262244250231e-07,0.0006978983564609076,2.24,1.1035464864348983,1.8384250213279016,1.6659244027563276,2.1932800507380152,3.536849122770808,0.0,-2.220446049250313e-16,sliding
sliding_limited,2.3999999999997685,1.7143193398440237,1.7143187475583201,5.92285703593376e-07,0.0006921488408620099,2.24,1.103547133255403,1.8384255664854097,1.6659239203151712,2.1932800507380152,3.5402777602008415,0.0,4.440892098500626e-16,sliding
sliding_limited,2.4019999999997683,1.714320719001985,1.7143201310257794,5.879762055016613e-07,0.0006864466870686217,2.24,1.103547774747705,1.838426107152166,1.665923441848696,2.1932800507380152,3.5437064003994854,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.403999999999768,1.714322086797977,1.7143215031004635,5.836975134343447e-07,0.0006807915050133986,2.24,1.1035484109556861,1.8384266433651566,1.6659229673241587,2.1932800507380152,3.5471350433439324,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.405999999999768,1.7143234433255952,1.7143228638761823,5.794494128963379e-07,0.0006751829078363164,2.24,1.1035490419228686,1.8384271751610628,1.665922496709084,2.1932800507380152,3.5505636890115597,0.0,-4.440892098500626e-16,sliding
sliding_limited,2.4079999999997677,1.7143247886776627,1.7143242134459733,5.752316893925524e-07,0.0006696205118685556,2.24,1.103549667692415,1.8384277025762632,1.6659220299712652,2.1932800507380152,3.553992337379934,0.0,-6.661338147750939e-16,sliding
sliding_limited,2.4099999999997674,1.7143261229462396,1.7143255519021083,5.710441313144798e-07,0.0006641039365929478,2.24,1.1035502883071333,1.8384282256468383,1.6659215670787613,2.1932800507380152,3.5574209884268058,0.0,2.220446049250313e-16,sliding
sliding_limited,2.411999999999767,1.7143274462226268,1.7143268793360993,5.668865274977009e-07,0.0006586328046298145,2.24,1.1035509038094793,1.8384287444085692,1.6659211079998912,2.1932800507380152,3.560849642130108,0.0,-2.220446049250313e-16,sliding
